scenario,mode,threshold,mean_primary_cpu_util,mean_total_cpu_util,utilization_improvement_points,cluster_utilization_improvement_pct,relative_cpu_throughput_gain_fraction,relative_cpu_throughput_gain_pct,throughput_proxy_cpu_core_minutes,throughput_proxy_gpu_device_minutes
aggressive_threshold_0.15,aggressive,0.15,0.15945789565267435,0.39648956506383737,0.23703166941116302,0.5046990222552106,0.00720209639266708,0.720209639266708,93137290.0,196860.0
buffered_threshold_0.15,buffered,0.15,0.16023221495064516,0.3924504590105708,0.23221824405992564,0.5063885722533795,0.007226206409549359,0.7226206409549358,93449080.0,202970.0
original_threshold_0.15,original,0.15,0.700766825016501,0.700766825016501,0.0,0.0,0.0,0.0,0.0,0.0
aggressive_threshold_0.20,aggressive,0.2,0.16151163138591898,0.36859423088158527,0.2070825994956663,0.5080883639190057,0.007250462575865255,0.7250462575865255,93762760.0,220090.0
buffered_threshold_0.20,buffered,0.2,0.16218976358808515,0.3674797193483506,0.20528995576026546,0.5085470172172033,0.00725700759600354,0.725700759600354,93847400.0,219170.0
original_threshold_0.20,original,0.2,0.700766825016501,0.700766825016501,0.0,0.0,0.0,0.0,0.0,0.0
aggressive_threshold_0.25,aggressive,0.25,0.16940723445206754,0.3521098782208624,0.1827026437687949,0.5090609971951573,0.007264342132394329,0.7264342132394329,93942250.0,218840.0
buffered_threshold_0.25,buffered,0.25,0.1700068122304661,0.3519703540391558,0.18196354180868968,0.5091384328713299,0.007265447145836864,0.7265447145836864,93956540.0,218270.0
original_threshold_0.25,original,0.25,0.700766825016501,0.700766825016501,0.0,0.0,0.0,0.0,0.0,0.0
